Student ID,English,Mathematics,Science,Social Studies,Logical Reasoning,Computer Awareness,Courses,Interest
Student_1_1,77,84,82,78,84,91,DIPLOMA,Computer Science and Information Technology
Student_1_2,75,93,85,75,83,84,DIPLOMA,Mechanical and Electrical
Student_1_3,78,80,85,80,81,87,DIPLOMA,Electronics and Communication
Student_1_4,79,82,75,81,87,80,DIPLOMA,Construction and Design
Student_1_5,92,81,80,80,83,85,DIPLOMA,Hospitality and Event Management
Student_1_6,84,81,86,80,88,76,DIPLOMA,Life Sciences and Environment
Student_1_7,87,77,82,90,80,81,DIPLOMA,Arts and Media
Student_1_8,87,79,94,79,80,80,DIPLOMA,Physical Education and Wellness
Student_1_9,84,87,80,76,90,84,DIPLOMA,"Finance, Business, and Marketing"
Student_2_1,79,88,82,79,81,93,DIPLOMA,Computer Science and Information Technology
Student_2_2,77,92,83,78,83,85,DIPLOMA,Mechanical and Electrical
Student_2_3,80,82,86,77,81,86,DIPLOMA,Electronics and Communication
Student_2_4,79,80,79,82,94,84,DIPLOMA,Construction and Design
Student_2_5,93,83,80,89,83,85,DIPLOMA,Hospitality and Event Management
Student_2_6,83,85,92,76,89,78,DIPLOMA,Life Sciences and Environment
Student_2_7,91,77,80,81,82,80,DIPLOMA,Arts and Media
Student_2_8,83,76,92,75,85,84,DIPLOMA,Physical Education and Wellness
Student_2_9,82,89,76,80,91,82,DIPLOMA,"Finance, Business, and Marketing"
Student_3_1,75,84,80,79,80,94,DIPLOMA,Computer Science and Information Technology
Student_3_2,76,91,83,80,84,83,DIPLOMA,Mechanical and Electrical
Student_3_3,77,82,87,76,82,89,DIPLOMA,Electronics and Communication
Student_3_4,77,83,77,85,94,84,DIPLOMA,Construction and Design
Student_3_5,89,84,76,83,83,81,DIPLOMA,Hospitality and Event Management
Student_3_6,83,81,94,77,83,76,DIPLOMA,Life Sciences and Environment
Student_3_7,89,79,82,85,83,81,DIPLOMA,Arts and Media
Student_3_8,85,78,86,77,82,81,DIPLOMA,Physical Education and Wellness
Student_3_9,82,80,80,76,87,83,DIPLOMA,"Finance, Business, and Marketing"
Student_4_1,75,81,85,75,85,94,DIPLOMA,Computer Science and Information Technology
Student_4_2,77,90,81,79,82,82,DIPLOMA,Mechanical and Electrical
Student_4_3,78,85,89,80,85,95,DIPLOMA,Electronics and Communication
Student_4_4,76,81,79,80,94,84,DIPLOMA,Construction and Design
Student_4_5,90,84,75,81,84,81,DIPLOMA,Hospitality and Event Management
Student_4_6,84,81,94,75,86,80,DIPLOMA,Life Sciences and Environment
Student_4_7,85,80,82,90,80,82,DIPLOMA,Arts and Media
