Student ID,English,Mathematics,Science,Social Studies,Logical Reasoning,Computer Awareness
3001,58,55,60,71,59,63
3002,61,70,70,58,62,57
3003,66,68,74,57,67,64
3004,62,62,60,70,58,56
3005,59,64,62,73,61,57
3006,57,66,60,66,65,61
3007,58,74,70,68,59,61
3008,56,58,65,58,63,55
3009,59,69,64,65,67,74
3010,60,73,58,73,66,72
3011,64,67,64,60,58,69
3012,64,60,70,74,62,60
3013,62,59,59,70,63,59
3014,72,72,67,56,73,70
3015,66,72,73,66,70,72
3016,73,73,66,57,70,60
3017,59,73,60,64,65,71
3018,59,62,71,66,57,58
3019,55,56,74,61,72,67
3020,66,67,67,66,73,55
3021,56,69,70,61,66,62
3022,70,64,67,74,56,71
3023,59,67,67,73,67,60
3024,72,58,71,61,60,62
3025,74,58,71,56,73,69
3026,67,59,67,64,68,67
3027,57,61,59,59,71,66
3028,69,65,72,71,65,56
3029,58,60,66,59,56,71
3030,73,58,66,56,59,72
3031,72,68,68,64,68,56
3032,66,67,61,70,58,72
3033,55,72,55,63,57,66
3034,69,63,66,74,71,55
3035,62,61,70,71,68,67
3036,71,65,57,71,70,64
3037,66,67,63,61,71,59
3038,70,73,70,60,71,69
3039,65,65,72,59,63,61
3040,59,62,68,65,69,66
3041,74,58,69,74,67,63
3042,69,69,62,65,55,62
3043,72,67,62,68,62,58
3044,74,70,67,74,59,66
3045,74,55,61,60,58,56
3046,71,55,67,64,71,70
3047,64,55,55,61,72,69
3048,69,58,73,55,62,67
3049,67,57,71,72,68,57
3050,72,58,63,60,72,56
3051,72,71,62,61,58,57
3052,70,60,57,66,74,71
3053,72,69,69,63,65,55
3054,69,59,61,64,62,62
3055,71,61,65,62,70,62
3056,57,63,71,68,74,56
3057,57,70,64,67,65,60
3058,62,63,56,58,68,74
3059,65,63,68,72,59,61
3060,65,73,57,65,59,56
3061,64,74,61,67,64,57
3062,59,61,73,69,59,60
3063,56,71,56,64,64,67
3064,62,72,59,74,63,57
3065,61,60,63,67,61,58
3066,55,66,69,59,60,72
3067,65,60,56,60,67,70
3068,58,62,60,72,63,74
3069,57,73,67,64,73,69
3070,56,73,63,55,60,59
3071,74,59,59,67,64,67
3072,73,72,60,57,74,71
3073,56,73,55,59,57,71
3074,55,73,67,70,71,72
3075,72,67,70,67,59,69
3076,61,57,73,71,68,62
3077,74,68,65,64,74,64
3078,63,61,57,59,67,66
3079,61,74,59,67,55,69
3080,73,60,66,74,70,61
3081,69,74,59,55,70,65
3082,58,71,70,60,69,57
3083,55,63,63,56,60,65
3084,74,74,58,59,60,66
3085,55,67,61,65,71,74
3086,70,55,70,63,64,70
3087,60,69,65,69,73,67
3088,70,70,59,58,71,73
3089,64,71,66,62,72,70
3090,73,56,65,60,64,59
3091,56,65,61,56,63,73
3092,60,64,73,70,58,62
3093,65,59,60,73,72,72
3094,67,63,70,68,65,55
3095,61,57,57,59,58,69
3096,65,55,74,61,73,72
3097,70,63,55,74,56,59
3098,55,70,68,59,57,70
3099,56,58,56,72,62,73
3100,73,71,65,56,59,69
3101,56,61,68,62,66,67
3102,60,58,60,69,66,71
3103,62,55,57,67,62,58
3104,60,55,69,72,65,56
3105,64,57,72,66,73,62
3106,57,71,71,74,65,72
3107,62,71,55,70,55,69
3108,57,62,56,70,60,57
3109,56,61,74,68,65,72
3110,59,55,74,57,62,57
3111,64,61,57,59,71,62
3112,71,55,55,74,64,72
3113,70,59,65,73,73,68
3114,67,69,59,67,63,69
3115,71,62,62,59,59,68
3116,69,59,61,56,64,69
3117,73,65,71,71,63,67
3118,65,56,70,55,70,60
3119,72,60,63,62,70,68
3120,71,56,55,61,71,67
3121,72,62,60,67,73,65
3122,64,73,58,65,67,73
3123,72,71,62,71,68,73
3124,66,64,74,72,55,66
3125,73,55,58,71,62,73
3126,62,60,59,59,60,63
3127,73,69,63,66,72,61
3128,67,58,65,70,59,63
3129,73,71,60,57,55,57
3130,65,60,61,60,66,64
3131,55,58,64,60,74,73
3132,65,57,62,57,62,68
3133,73,74,57,72,61,62
3134,72,61,67,60,55,56
3135,69,58,66,73,59,74
3136,71,63,64,62,73,62
3137,66,67,66,63,65,74
3138,68,56,68,58,61,60
3139,70,60,67,71,69,70
3140,66,62,60,58,68,58
3141,63,55,69,60,62,66
3142,66,60,66,60,61,56
3143,73,68,63,55,56,67
3144,73,64,60,61,69,67
3145,64,69,55,66,64,67
3146,56,69,67,72,67,60
3147,58,71,68,59,72,73
3148,63,63,66,68,73,61
3149,55,73,55,67,72,58
3150,68,73,71,57,57,74
3151,56,64,73,57,70,56
3152,55,62,71,63,60,65
3153,70,70,63,74,57,65
3154,55,74,61,66,67,55
3155,57,69,56,73,64,65
3156,68,68,71,55,74,61
3157,72,74,64,72,62,70
3158,73,64,56,67,69,63
3159,63,68,68,58,60,57
3160,62,61,59,55,60,62
3161,66,59,71,64,60,66
3162,62,56,74,74,61,63
3163,61,63,62,60,64,62
3164,63,68,57,58,57,72
3165,72,58,73,56,70,56
3166,64,61,62,60,56,57
3167,59,61,63,72,65,55
3168,73,73,66,71,65,73
3169,66,66,73,63,74,72
3170,60,71,64,60,69,71
3171,57,73,63,66,66,67
3172,68,64,72,60,69,58
3173,74,72,67,66,57,71
3174,60,59,56,68,59,62
3175,70,65,69,72,65,66
3176,56,68,73,72,55,61
3177,58,65,66,70,63,55
3178,71,59,72,70,61,68
3179,71,60,62,68,68,60
3180,62,60,66,67,73,72
3181,72,69,72,61,58,62
3182,57,65,57,71,57,59
3183,74,56,55,68,58,72
3184,65,71,60,61,74,71
3185,55,68,66,71,61,61
3186,61,59,56,59,67,72
3187,74,63,74,70,65,67
3188,69,70,68,67,71,73
3189,60,59,68,59,70,73
3190,63,61,63,59,56,56
3191,74,73,58,58,69,68
3192,57,56,55,72,61,74
3193,68,57,72,73,58,57
3194,69,72,56,63,74,58
3195,73,70,74,66,59,67
3196,57,55,66,63,59,68
3197,63,70,58,62,72,74
3198,63,67,57,69,55,59
3199,68,67,72,70,55,58
3200,64,65,74,68,68,63
3201,70,55,69,68,71,66
3202,73,68,56,62,60,71
3203,66,61,66,63,59,59
3204,74,70,69,71,58,66
3205,56,55,72,65,69,70
3206,73,59,69,70,62,58
3207,57,58,58,60,61,58
3208,56,62,56,56,69,60
3209,64,58,67,59,57,57
3210,67,66,59,69,68,61
3211,59,61,57,68,63,70
3212,74,67,57,68,63,65
3213,55,74,58,68,60,67
3214,58,73,65,71,65,63
3215,71,58,56,65,63,73
3216,57,74,61,70,65,55
3217,60,68,62,55,62,64
3218,55,61,70,64,63,64
3219,67,67,69,60,70,69
3220,59,65,63,63,60,70
