Student ID,English,Mathematics,Science,Social Studies,Logical Reasoning,Computer Awareness,Branch,Course
Student_1_1,89,81,76,50,82,92,Diploma,Diploma in Computer Science and Information Technology
Student_2_1,75,82,88,77,88,87,Diploma,Diploma in Computer Science and Information Technology
Student_3_1,78,85,85,69,77,87,Diploma,Diploma in Computer Science and Information Technology
Student_4_1,87,94,82,55,77,89,Diploma,Diploma in Computer Science and Information Technology
Student_5_1,84,86,84,65,85,89,Diploma,Diploma in Computer Science and Information Technology
Student_6_1,77,82,85,44,78,95,Diploma,Diploma in Computer Science and Information Technology
Student_7_1,79,84,76,73,90,91,Diploma,Diploma in Computer Science and Information Technology
Student_8_1,85,92,82,82,77,91,Diploma,Diploma in Computer Science and Information Technology
Student_9_1,79,83,75,78,80,94,Diploma,Diploma in Computer Science and Information Technology
Student_10_1,81,87,86,58,78,81,Diploma,Diploma in Computer Science and Information Technology
Student_11_1,78,90,77,88,83,84,Diploma,Diploma in Computer Science and Information Technology
Student_12_1,78,87,80,59,76,92,Diploma,Diploma in Computer Science and Information Technology
Student_13_1,77,88,79,42,80,85,Diploma,Diploma in Computer Science and Information Technology
Student_14_1,75,89,81,55,90,81,Diploma,Diploma in Computer Science and Information Technology
Student_15_1,81,83,76,57,77,83,Diploma,Diploma in Computer Science and Information Technology
Student_16_1,78,88,81,68,81,90,Diploma,Diploma in Computer Science and Information Technology
Student_17_1,83,93,85,74,80,92,Diploma,Diploma in Computer Science and Information Technology
Student_18_1,76,86,79,86,84,82,Diploma,Diploma in Computer Science and Information Technology
Student_19_1,89,80,85,80,85,93,Diploma,Diploma in Computer Science and Information Technology
Student_20_1,81,80,76,90,90,92,Diploma,Diploma in Computer Science and Information Technology
Student_21_1,85,85,78,84,78,82,Diploma,Diploma in Computer Science and Information Technology
Student_22_1,82,95,84,47,86,84,Diploma,Diploma in Computer Science and Information Technology
Student_23_1,77,93,75,90,82,87,Diploma,Diploma in Computer Science and Information Technology
Student_24_1,90,85,76,84,80,89,Diploma,Diploma in Computer Science and Information Technology
Student_25_1,84,85,79,79,90,86,Diploma,Diploma in Computer Science and Information Technology
Student_26_1,88,91,78,42,81,86,Diploma,Diploma in Computer Science and Information Technology
Student_27_1,81,92,84,83,75,80,Diploma,Diploma in Computer Science and Information Technology
Student_28_1,81,94,87,55,79,95,Diploma,Diploma in Computer Science and Information Technology
Student_29_1,79,83,75,45,78,82,Diploma,Diploma in Computer Science and Information Technology
Student_30_1,84,83,79,80,85,84,Diploma,Diploma in Computer Science and Information Technology
Student_31_1,88,86,83,85,81,94,Diploma,Diploma in Computer Science and Information Technology
Student_32_1,83,86,83,75,81,85,Diploma,Diploma in Computer Science and Information Technology
Student_33_1,78,95,84,77,90,95,Diploma,Diploma in Computer Science and Information Technology
Student_34_1,81,92,79,59,81,93,Diploma,Diploma in Computer Science and Information Technology
Student_35_1,81,82,90,60,79,83,Diploma,Diploma in Computer Science and Information Technology
Student_36_1,89,89,84,52,89,86,Diploma,Diploma in Computer Science and Information Technology
Student_37_1,88,86,82,88,78,95,Diploma,Diploma in Computer Science and Information Technology
Student_38_1,85,87,78,68,79,84,Diploma,Diploma in Computer Science and Information Technology
Student_39_1,76,83,83,48,76,85,Diploma,Diploma in Computer Science and Information Technology
Student_40_1,81,86,89,88,81,85,Diploma,Diploma in Computer Science and Information Technology
Student_41_1,76,86,87,41,87,81,Diploma,Diploma in Computer Science and Information Technology
Student_42_1,89,80,78,60,78,94,Diploma,Diploma in Computer Science and Information Technology
Student_43_1,84,94,88,71,82,80,Diploma,Diploma in Computer Science and Information Technology
Student_44_1,75,80,77,90,90,91,Diploma,Diploma in Computer Science and Information Technology
Student_45_1,80,91,81,71,80,84,Diploma,Diploma in Computer Science and Information Technology
Student_46_1,78,94,88,75,77,88,Diploma,Diploma in Computer Science and Information Technology
Student_47_1,78,83,75,58,84,89,Diploma,Diploma in Computer Science and Information Technology
Student_48_1,76,90,85,83,82,94,Diploma,Diploma in Computer Science and Information Technology
Student_49_1,75,81,84,73,84,81,Diploma,Diploma in Computer Science and Information Technology
Student_50_1,80,89,81,78,85,86,Diploma,Diploma in Computer Science and Information Technology
Student_51_1,90,84,81,47,90,81,Diploma,Diploma in Computer Science and Information Technology
Student_52_1,87,80,88,59,84,88,Diploma,Diploma in Computer Science and Information Technology
Student_53_1,85,91,85,66,78,92,Diploma,Diploma in Computer Science and Information Technology
Student_54_1,88,87,81,67,76,86,Diploma,Diploma in Computer Science and Information Technology
Student_55_1,77,90,87,48,81,87,Diploma,Diploma in Computer Science and Information Technology
Student_56_1,80,84,79,58,76,92,Diploma,Diploma in Computer Science and Information Technology
Student_57_1,82,87,78,68,90,94,Diploma,Diploma in Computer Science and Information Technology
Student_58_1,84,89,89,73,75,85,Diploma,Diploma in Computer Science and Information Technology
Student_59_1,80,84,81,72,75,85,Diploma,Diploma in Computer Science and Information Technology
Student_60_1,90,81,79,76,84,88,Diploma,Diploma in Computer Science and Information Technology
