Student ID,English,Mathematics,Science,Social Studies,Logical Reasoning,Computer Awareness,Branch,Course
Student_1_1,53,45,47,44,49,47,Vocational,Vocational in Computer Science and Information Technology
Student_1_2,54,49,48,39,42,50,Vocational,Vocational in Mechanical and Electrical
Student_1_3,41,44,37,45,47,42,Vocational,Vocational in Construction and Design
Student_1_4,52,46,43,49,50,50,Vocational,Vocational in Hospitality and Event Management
Student_1_5,42,45,42,42,55,45,Vocational,"Vocational in Finance, Business and Marketing"
Student_1_6,49,35,43,48,50,43,Vocational,Vocational in Arts and Media
Student_1_7,53,35,52,41,41,50,Vocational,Vocational in Physical Education and Wellness
Student_1_8,40,36,38,37,38,35,Vocational,Vocational in Culinary Studies and Cooking
Student_2_1,53,51,55,36,45,50,Vocational,Vocational in Computer Science and Information Technology
Student_2_2,53,55,46,43,46,43,Vocational,Vocational in Mechanical and Electrical
Student_2_3,46,42,44,53,48,46,Vocational,Vocational in Construction and Design
Student_2_4,52,46,39,47,43,46,Vocational,Vocational in Hospitality and Event Management
Student_2_5,52,55,43,40,53,49,Vocational,"Vocational in Finance, Business and Marketing"
Student_2_6,55,42,42,47,46,48,Vocational,Vocational in Arts and Media
Student_2_7,46,41,48,43,42,45,Vocational,Vocational in Physical Education and Wellness
Student_2_8,38,39,35,38,35,36,Vocational,Vocational in Culinary Studies and Cooking
Student_3_1,45,53,40,38,42,45,Vocational,Vocational in Computer Science and Information Technology
Student_3_2,49,51,52,45,42,44,Vocational,Vocational in Mechanical and Electrical
Student_3_3,48,47,43,48,46,46,Vocational,Vocational in Construction and Design
Student_3_4,46,44,36,51,49,42,Vocational,Vocational in Hospitality and Event Management
Student_3_5,42,55,38,39,49,43,Vocational,"Vocational in Finance, Business and Marketing"
Student_3_6,51,38,43,52,45,46,Vocational,Vocational in Arts and Media
Student_3_7,45,35,51,42,47,47,Vocational,Vocational in Physical Education and Wellness
Student_3_8,37,36,37,39,35,37,Vocational,Vocational in Culinary Studies and Cooking
Student_4_1,46,45,40,41,48,45,Vocational,Vocational in Computer Science and Information Technology
Student_4_2,43,46,46,43,49,49,Vocational,Vocational in Mechanical and Electrical
Student_4_3,40,45,39,47,54,41,Vocational,Vocational in Construction and Design
Student_4_4,41,42,35,52,50,43,Vocational,Vocational in Hospitality and Event Management
Student_4_5,46,45,45,44,46,48,Vocational,"Vocational in Finance, Business and Marketing"
Student_4_6,40,45,40,48,44,42,Vocational,Vocational in Arts and Media
Student_4_7,55,41,54,37,44,45,Vocational,Vocational in Physical Education and Wellness
Student_4_8,38,39,38,38,37,39,Vocational,Vocational in Culinary Studies and Cooking
Student_5_1,41,51,51,42,42,55,Vocational,Vocational in Computer Science and Information Technology
Student_5_2,43,50,52,35,43,49,Vocational,Vocational in Mechanical and Electrical
Student_5_3,44,48,39,54,48,50,Vocational,Vocational in Construction and Design
Student_5_4,51,41,40,49,48,44,Vocational,Vocational in Hospitality and Event Management
Student_5_5,48,51,40,37,51,47,Vocational,"Vocational in Finance, Business and Marketing"
Student_5_6,50,45,44,48,50,42,Vocational,Vocational in Arts and Media
Student_5_7,47,37,51,44,45,46,Vocational,Vocational in Physical Education and Wellness
Student_5_8,40,35,37,35,35,35,Vocational,Vocational in Culinary Studies and Cooking
Student_6_1,50,47,40,41,42,48,Vocational,Vocational in Computer Science and Information Technology
Student_6_2,51,54,50,43,45,49,Vocational,Vocational in Mechanical and Electrical
Student_6_3,45,42,39,53,54,41,Vocational,Vocational in Construction and Design
Student_6_4,45,50,38,51,47,49,Vocational,Vocational in Hospitality and Event Management
Student_6_5,54,47,43,43,55,50,Vocational,"Vocational in Finance, Business and Marketing"
Student_6_6,48,40,45,55,46,46,Vocational,Vocational in Arts and Media
Student_6_7,49,42,45,37,42,48,Vocational,Vocational in Physical Education and Wellness
Student_6_8,36,37,35,36,37,40,Vocational,Vocational in Culinary Studies and Cooking
Student_7_1,40,52,54,35,46,46,Vocational,Vocational in Computer Science and Information Technology
Student_7_2,40,51,53,41,49,47,Vocational,Vocational in Mechanical and Electrical
Student_7_3,41,46,43,51,47,49,Vocational,Vocational in Construction and Design
Student_7_4,44,50,35,45,47,42,Vocational,Vocational in Hospitality and Event Management
Student_7_5,42,50,36,43,46,44,Vocational,"Vocational in Finance, Business and Marketing"
Student_7_6,52,36,41,48,43,43,Vocational,Vocational in Arts and Media
Student_7_7,46,43,49,38,50,47,Vocational,Vocational in Physical Education and Wellness
Student_7_8,40,39,40,39,35,35,Vocational,Vocational in Culinary Studies and Cooking
Student_8_1,48,50,55,37,47,54,Vocational,Vocational in Computer Science and Information Technology
Student_8_2,49,46,52,45,44,49,Vocational,Vocational in Mechanical and Electrical
Student_8_3,47,41,37,53,45,44,Vocational,Vocational in Construction and Design
Student_8_4,51,46,38,51,47,49,Vocational,Vocational in Hospitality and Event Management
Student_8_5,55,54,42,35,46,46,Vocational,"Vocational in Finance, Business and Marketing"
Student_8_6,42,42,35,49,50,46,Vocational,Vocational in Arts and Media
Student_8_7,52,38,47,39,45,47,Vocational,Vocational in Physical Education and Wellness
Student_8_8,38,37,37,36,37,37,Vocational,Vocational in Culinary Studies and Cooking
Student_9_1,54,53,50,38,46,51,Vocational,Vocational in Computer Science and Information Technology
Student_9_2,51,47,49,36,49,43,Vocational,Vocational in Mechanical and Electrical
Student_9_3,46,47,40,47,47,46,Vocational,Vocational in Construction and Design
Student_9_4,40,43,42,51,50,41,Vocational,Vocational in Hospitality and Event Management
Student_9_5,53,55,35,44,53,44,Vocational,"Vocational in Finance, Business and Marketing"
Student_9_6,55,36,42,49,45,47,Vocational,Vocational in Arts and Media
Student_9_7,45,43,48,41,49,49,Vocational,Vocational in Physical Education and Wellness
Student_9_8,37,40,35,35,39,36,Vocational,Vocational in Culinary Studies and Cooking
Student_10_1,54,55,46,45,42,46,Vocational,Vocational in Computer Science and Information Technology
Student_10_2,45,52,48,41,42,43,Vocational,Vocational in Mechanical and Electrical
Student_10_3,49,46,35,51,54,49,Vocational,Vocational in Construction and Design
Student_10_4,55,48,43,50,46,49,Vocational,Vocational in Hospitality and Event Management
Student_10_5,42,54,39,43,52,48,Vocational,"Vocational in Finance, Business and Marketing"
Student_10_6,41,38,36,46,48,44,Vocational,Vocational in Arts and Media
Student_10_7,54,41,53,35,47,41,Vocational,Vocational in Physical Education and Wellness
Student_10_8,38,38,37,37,35,39,Vocational,Vocational in Culinary Studies and Cooking
Student_11_1,41,45,52,38,47,53,Vocational,Vocational in Computer Science and Information Technology
Student_11_2,53,51,52,36,49,43,Vocational,Vocational in Mechanical and Electrical
Student_11_3,49,42,36,53,52,50,Vocational,Vocational in Construction and Design
Student_11_4,46,48,35,54,48,48,Vocational,Vocational in Hospitality and Event Management
Student_11_5,49,51,41,44,50,44,Vocational,"Vocational in Finance, Business and Marketing"
Student_11_6,54,40,41,54,49,49,Vocational,Vocational in Arts and Media
Student_11_7,48,44,54,42,45,43,Vocational,Vocational in Physical Education and Wellness
Student_11_8,35,38,38,35,40,40,Vocational,Vocational in Culinary Studies and Cooking
Student_12_1,42,54,53,45,50,53,Vocational,Vocational in Computer Science and Information Technology
Student_12_2,47,54,51,40,41,43,Vocational,Vocational in Mechanical and Electrical
Student_12_3,51,44,38,47,47,45,Vocational,Vocational in Construction and Design
Student_12_4,47,43,37,55,48,41,Vocational,Vocational in Hospitality and Event Management
Student_12_5,40,46,45,36,50,44,Vocational,"Vocational in Finance, Business and Marketing"
Student_12_6,48,35,37,45,43,50,Vocational,Vocational in Arts and Media
Student_12_7,47,42,50,40,49,50,Vocational,Vocational in Physical Education and Wellness
Student_12_8,35,37,36,38,36,35,Vocational,Vocational in Culinary Studies and Cooking
Student_13_1,54,55,45,41,47,51,Vocational,Vocational in Computer Science and Information Technology
Student_13_2,40,51,46,36,41,45,Vocational,Vocational in Mechanical and Electrical
Student_13_3,46,50,41,45,48,48,Vocational,Vocational in Construction and Design
Student_13_4,55,45,38,50,44,44,Vocational,Vocational in Hospitality and Event Management
Student_13_5,41,49,39,42,51,45,Vocational,"Vocational in Finance, Business and Marketing"
Student_13_6,44,44,39,50,41,43,Vocational,Vocational in Arts and Media
Student_13_7,42,35,46,44,47,48,Vocational,Vocational in Physical Education and Wellness
Student_13_8,40,38,38,36,38,39,Vocational,Vocational in Culinary Studies and Cooking
Student_14_1,41,51,43,42,49,48,Vocational,Vocational in Computer Science and Information Technology
Student_14_2,53,52,51,45,46,44,Vocational,Vocational in Mechanical and Electrical
Student_14_3,41,46,43,45,53,48,Vocational,Vocational in Construction and Design
Student_14_4,51,50,40,48,43,47,Vocational,Vocational in Hospitality and Event Management
Student_14_5,42,54,37,39,53,49,Vocational,"Vocational in Finance, Business and Marketing"
Student_14_6,52,37,40,53,45,41,Vocational,Vocational in Arts and Media
Student_14_7,55,41,47,40,41,49,Vocational,Vocational in Physical Education and Wellness
Student_14_8,40,37,37,37,35,39,Vocational,Vocational in Culinary Studies and Cooking
Student_15_1,53,46,40,44,50,54,Vocational,Vocational in Computer Science and Information Technology
Student_15_2,45,46,47,45,46,42,Vocational,Vocational in Mechanical and Electrical
Student_15_3,46,44,36,53,55,49,Vocational,Vocational in Construction and Design
Student_15_4,48,46,40,49,48,50,Vocational,Vocational in Hospitality and Event Management
Student_15_5,52,47,37,44,54,47,Vocational,"Vocational in Finance, Business and Marketing"
Student_15_6,45,39,42,55,47,49,Vocational,Vocational in Arts and Media
Student_15_7,49,43,48,40,50,49,Vocational,Vocational in Physical Education and Wellness
Student_15_8,40,39,38,36,37,40,Vocational,Vocational in Culinary Studies and Cooking
Student_16_1,46,46,55,38,46,52,Vocational,Vocational in Computer Science and Information Technology
Student_16_2,53,49,53,39,49,41,Vocational,Vocational in Mechanical and Electrical
Student_16_3,43,46,45,48,54,44,Vocational,Vocational in Construction and Design
Student_16_4,43,49,40,50,46,49,Vocational,Vocational in Hospitality and Event Management
Student_16_5,53,53,43,38,51,46,Vocational,"Vocational in Finance, Business and Marketing"
Student_16_6,46,40,42,49,44,47,Vocational,Vocational in Arts and Media
Student_16_7,46,39,47,38,48,48,Vocational,Vocational in Physical Education and Wellness
Student_16_8,38,36,35,36,36,37,Vocational,Vocational in Culinary Studies and Cooking
Student_17_1,51,51,51,37,50,52,Vocational,Vocational in Computer Science and Information Technology
Student_17_2,40,51,55,45,41,45,Vocational,Vocational in Mechanical and Electrical
Student_17_3,44,46,38,45,46,42,Vocational,Vocational in Construction and Design
Student_17_4,42,47,42,55,48,46,Vocational,Vocational in Hospitality and Event Management
Student_17_5,51,48,39,40,49,42,Vocational,"Vocational in Finance, Business and Marketing"
Student_17_6,40,39,38,46,43,48,Vocational,Vocational in Arts and Media
Student_17_7,46,39,52,41,41,45,Vocational,Vocational in Physical Education and Wellness
Student_17_8,35,35,37,36,40,40,Vocational,Vocational in Culinary Studies and Cooking
Student_18_1,49,51,40,35,41,53,Vocational,Vocational in Computer Science and Information Technology
Student_18_2,55,52,48,40,50,50,Vocational,Vocational in Mechanical and Electrical
Student_18_3,41,41,44,50,50,44,Vocational,Vocational in Construction and Design
Student_18_4,49,48,44,53,43,49,Vocational,Vocational in Hospitality and Event Management
Student_18_5,49,50,37,37,54,49,Vocational,"Vocational in Finance, Business and Marketing"
Student_18_6,54,40,39,48,48,48,Vocational,Vocational in Arts and Media
Student_18_7,54,37,55,44,50,48,Vocational,Vocational in Physical Education and Wellness
Student_18_8,39,36,38,36,38,36,Vocational,Vocational in Culinary Studies and Cooking
Student_19_1,53,49,48,44,46,54,Vocational,Vocational in Computer Science and Information Technology
Student_19_2,48,50,50,40,50,41,Vocational,Vocational in Mechanical and Electrical
Student_19_3,46,41,39,53,45,44,Vocational,Vocational in Construction and Design
Student_19_4,49,47,45,53,43,43,Vocational,Vocational in Hospitality and Event Management
Student_19_5,53,50,44,35,51,49,Vocational,"Vocational in Finance, Business and Marketing"
Student_19_6,51,36,45,52,48,48,Vocational,Vocational in Arts and Media
Student_19_7,41,44,48,36,47,46,Vocational,Vocational in Physical Education and Wellness
Student_19_8,35,35,39,38,39,37,Vocational,Vocational in Culinary Studies and Cooking
