Student ID,English,Mathematics,Science,Social Studies,Logical Reasoning,Computer Awareness,Branch,Course
Student_1_1,63,73,69,49,74,74,ITI,ITI in Computer Science and Information Technology
Student_1_2,70,74,69,53,67,74,ITI,ITI in Mechanical and Electrical
Student_1_3,65,70,65,51,58,74,ITI,ITI in Electronics and Communication
Student_1_4,72,68,70,50,71,60,ITI,ITI in Construction and Design
Student_1_5,72,60,69,71,74,59,ITI,ITI in Physical Education and Wellness
Student_2_1,67,66,67,67,69,66,ITI,ITI in Computer Science and Information Technology
Student_2_2,65,72,66,65,61,72,ITI,ITI in Mechanical and Electrical
Student_2_3,66,74,68,54,60,67,ITI,ITI in Electronics and Communication
Student_2_4,66,72,70,66,73,59,ITI,ITI in Construction and Design
Student_2_5,72,66,65,61,66,58,ITI,ITI in Physical Education and Wellness
Student_3_1,73,68,71,48,71,66,ITI,ITI in Computer Science and Information Technology
Student_3_2,60,67,71,62,73,73,ITI,ITI in Mechanical and Electrical
Student_3_3,65,74,66,57,64,69,ITI,ITI in Electronics and Communication
Student_3_4,72,67,72,72,74,58,ITI,ITI in Construction and Design
Student_3_5,66,70,67,51,67,61,ITI,ITI in Physical Education and Wellness
Student_4_1,69,68,65,53,68,72,ITI,ITI in Computer Science and Information Technology
Student_4_2,60,71,72,49,70,73,ITI,ITI in Mechanical and Electrical
Student_4_3,70,73,66,64,61,74,ITI,ITI in Electronics and Communication
Student_4_4,68,72,68,46,69,60,ITI,ITI in Construction and Design
Student_4_5,72,60,68,42,74,61,ITI,ITI in Physical Education and Wellness
Student_5_1,61,70,70,51,72,73,ITI,ITI in Computer Science and Information Technology
Student_5_2,73,71,66,54,67,68,ITI,ITI in Mechanical and Electrical
Student_5_3,68,70,71,62,63,71,ITI,ITI in Electronics and Communication
Student_5_4,61,67,67,60,65,59,ITI,ITI in Construction and Design
Student_5_5,73,72,73,73,67,56,ITI,ITI in Physical Education and Wellness
Student_6_1,73,68,72,68,67,66,ITI,ITI in Computer Science and Information Technology
Student_6_2,73,65,71,44,68,70,ITI,ITI in Mechanical and Electrical
Student_6_3,71,68,68,71,56,70,ITI,ITI in Electronics and Communication
Student_6_4,62,69,65,58,66,63,ITI,ITI in Construction and Design
Student_6_5,74,61,73,55,66,64,ITI,ITI in Physical Education and Wellness
Student_7_1,66,72,67,55,71,69,ITI,ITI in Computer Science and Information Technology
Student_7_2,64,67,74,41,67,70,ITI,ITI in Mechanical and Electrical
Student_7_3,74,72,71,43,61,67,ITI,ITI in Electronics and Communication
Student_7_4,61,73,72,71,72,61,ITI,ITI in Construction and Design
Student_7_5,73,70,73,45,67,60,ITI,ITI in Physical Education and Wellness
Student_8_1,60,70,65,64,68,71,ITI,ITI in Computer Science and Information Technology
Student_8_2,67,70,68,41,71,65,ITI,ITI in Mechanical and Electrical
Student_8_3,64,68,73,41,58,69,ITI,ITI in Electronics and Communication
Student_8_4,72,73,66,66,72,56,ITI,ITI in Construction and Design
Student_8_5,74,68,71,61,71,57,ITI,ITI in Physical Education and Wellness
Student_9_1,69,72,69,52,74,73,ITI,ITI in Computer Science and Information Technology
Student_9_2,73,65,72,46,67,71,ITI,ITI in Mechanical and Electrical
Student_9_3,70,66,68,53,61,69,ITI,ITI in Electronics and Communication
Student_9_4,66,71,71,68,71,58,ITI,ITI in Construction and Design
