Student ID,English,Mathematics,Science,Social Studies,Logical Reasoning,Computer Awareness
6501,42,44,45,52,43,43
6502,54,43,50,42,48,53
6503,52,47,43,51,41,41
6504,49,44,41,44,50,45
6505,51,54,44,47,51,50
6506,44,46,53,42,54,42
6507,45,54,53,44,48,40
6508,40,45,54,52,46,41
6509,49,54,41,54,52,47
6510,49,47,45,42,42,51
6511,50,42,49,50,50,44
6512,51,40,49,42,44,40
6513,53,41,52,43,46,49
6514,50,45,45,41,51,46
6515,44,51,48,47,53,43
6516,42,42,46,41,54,48
6517,42,54,40,44,54,44
6518,43,45,51,44,50,54
6519,46,40,40,47,44,42
6520,51,41,41,47,47,52
6521,45,48,41,47,51,52
6522,50,45,42,41,48,47
6523,47,47,48,53,47,54
6524,43,52,51,40,42,46
6525,49,40,49,43,54,51
6526,41,51,51,42,54,44
6527,52,41,49,50,48,41
6528,52,40,51,54,44,48
6529,44,44,47,50,43,52
6530,47,54,47,48,48,54
6531,47,51,47,46,53,47
6532,49,42,49,45,44,42
6533,40,43,45,43,47,49
6534,45,47,46,42,46,46
6535,42,44,48,51,52,54
6536,52,46,49,53,51,49
6537,44,52,45,41,49,46
6538,53,40,40,50,41,41
6539,53,40,49,47,47,43
6540,47,51,54,41,42,47
6541,54,40,51,50,49,49
6542,46,40,46,45,54,42
6543,45,40,48,48,45,49
6544,50,48,42,43,41,45
6545,52,49,45,45,41,51
6546,45,45,41,45,48,49
6547,41,50,53,54,50,43
6548,52,53,43,43,45,54
6549,54,43,44,50,48,46
6550,52,46,45,43,42,49
6551,44,45,45,51,53,44
6552,46,43,40,43,44,44
6553,44,44,42,45,40,42
6554,47,52,42,53,54,53
6555,43,40,48,48,54,42
6556,40,49,53,52,45,46
6557,44,51,44,40,54,44
6558,51,46,41,40,40,51
6559,45,47,47,54,48,43
6560,41,51,50,49,50,47
6561,51,54,51,53,41,43
6562,53,40,48,47,42,40
6563,41,40,47,43,54,45
6564,52,45,44,41,51,49
6565,48,43,53,43,51,46
6566,50,40,45,53,43,45
6567,50,40,44,41,44,42
6568,52,41,48,43,49,47
6569,51,40,49,48,42,45
6570,52,51,44,50,40,44
6571,42,53,50,51,53,41
6572,46,49,49,46,44,45
6573,52,53,40,40,42,46
6574,42,51,45,47,41,45
6575,53,45,52,47,43,54
6576,47,53,45,51,49,44
6577,48,42,51,42,41,44
6578,52,43,53,41,53,42
6579,41,47,44,50,50,49
6580,54,45,54,54,47,43
6581,54,54,43,51,52,41
6582,42,47,44,50,52,53
6583,48,45,52,46,43,42
6584,45,53,43,54,44,45
6585,40,53,51,45,52,52
6586,42,50,43,49,48,43
6587,54,40,48,49,46,40
6588,46,53,45,47,51,48
6589,50,52,51,52,44,40
6590,50,54,41,40,53,46
6591,47,43,41,54,41,46
6592,52,43,53,42,45,41
6593,40,54,48,49,40,52
6594,45,43,47,43,51,53
6595,50,52,53,53,54,40
6596,53,41,42,45,40,41
6597,41,46,53,41,41,52
6598,45,51,47,52,43,43
6599,46,54,46,47,44,48
6600,46,43,54,42,52,44
6601,40,47,50,50,50,45
6602,44,43,47,45,43,51
6603,49,45,51,47,50,46
6604,44,43,53,42,52,54
6605,49,43,49,52,45,47
6606,45,53,51,46,48,47
6607,49,53,48,49,40,49
6608,40,42,44,47,49,54
6609,53,43,45,43,54,44
6610,40,47,54,44,47,45
6611,44,40,42,42,47,47
6612,41,44,45,53,52,53
6613,52,51,53,48,52,45
6614,41,47,45,49,43,51
6615,45,52,40,44,44,49
6616,44,48,46,42,40,50
6617,50,51,52,46,41,49
6618,40,47,47,49,47,42
6619,50,50,52,42,45,49
6620,40,40,45,54,44,52
6621,45,45,54,41,43,47
6622,46,45,54,50,53,50
6623,40,47,48,48,40,46
6624,49,52,42,43,54,51
6625,42,43,47,51,49,50
6626,42,50,44,53,48,48
6627,43,49,40,45,41,53
6628,48,46,54,51,45,53
6629,44,49,53,51,53,40
6630,53,47,51,46,46,54
6631,49,48,47,50,47,47
6632,49,43,49,51,45,42
6633,51,52,44,51,52,47
6634,40,48,52,51,45,52
6635,43,52,52,47,45,44
6636,47,46,48,50,40,49
6637,53,48,45,49,51,42
6638,42,46,42,45,50,53
6639,47,40,54,45,54,45
6640,47,49,49,53,46,40
6641,45,44,46,53,48,52
6642,45,45,46,42,45,50
6643,52,42,49,41,54,42
6644,48,42,42,49,52,40
6645,49,50,48,50,45,48
6646,41,48,47,52,53,49
6647,46,51,50,46,46,54
6648,50,41,50,44,45,43
6649,46,54,41,46,40,49
6650,40,53,41,48,51,43
6651,52,51,49,52,45,53
6652,48,51,53,45,50,54
6653,43,46,54,40,53,43
6654,45,42,41,50,48,49
6655,51,41,49,48,46,47
6656,40,45,48,48,41,44
6657,46,44,53,41,48,53
6658,46,42,48,48,40,45
6659,43,52,49,44,47,42
6660,40,52,48,51,51,53
6661,48,48,42,43,42,52
6662,54,45,43,54,43,40
6663,42,52,53,53,49,42
6664,44,53,54,50,49,48
6665,47,53,51,44,48,51
6666,47,41,41,52,46,46
6667,51,50,45,48,45,46
6668,49,44,42,51,43,46
6669,53,48,52,53,52,54
6670,44,45,47,52,45,49
6671,48,40,48,40,41,48
6672,44,44,47,50,41,48
6673,49,49,43,41,51,53
6674,51,49,54,54,48,41
6675,49,52,40,40,40,50
6676,47,41,44,53,51,46
6677,54,43,48,46,51,41
6678,51,43,51,45,52,51
6679,51,41,44,44,48,50
6680,44,54,41,48,52,50
6681,49,47,52,44,48,41
6682,43,52,50,41,50,41
6683,42,52,47,54,41,40
6684,44,52,51,40,48,41
6685,53,44,54,41,40,48
6686,50,43,44,48,51,53
6687,42,46,49,48,50,44
6688,46,46,41,50,46,50
6689,47,49,49,43,50,50
6690,52,50,44,50,51,54
6691,53,45,43,51,42,41
6692,52,45,45,52,46,40
6693,43,43,49,43,43,54
6694,48,44,42,47,41,48
6695,50,49,44,50,49,40
6696,46,48,51,54,46,49
6697,40,40,42,45,52,41
6698,51,45,42,52,49,44
6699,52,46,42,54,52,53
6700,48,42,51,51,50,48
6701,49,50,42,46,40,47
6702,48,40,43,53,41,50
6703,49,42,48,40,46,40
6704,50,50,54,45,50,50
6705,54,44,43,43,44,40
6706,54,50,51,54,43,40
6707,45,48,42,51,52,41
6708,51,43,41,51,50,45
6709,50,47,49,43,52,50
6710,50,50,50,41,48,43
6711,43,40,53,50,53,49
6712,45,54,43,51,41,50
6713,45,50,44,50,50,54
6714,42,52,47,51,41,49
6715,51,46,42,51,46,51
6716,51,41,42,42,51,52
6717,47,40,54,41,53,53
6718,48,43,50,50,43,50
6719,44,49,40,54,46,54
6720,41,46,52,45,48,43
6721,51,48,45,46,40,43
6722,40,40,42,48,43,45
6723,53,48,47,52,42,41
6724,54,45,50,48,51,44
6725,50,44,40,51,52,53
6726,43,40,44,48,54,42
6727,47,48,53,52,46,45
6728,50,47,46,44,52,49
6729,45,44,42,49,49,51
6730,49,44,48,41,51,52
6731,53,46,44,40,52,43
6732,52,46,48,47,46,46
6733,41,53,45,44,47,44
6734,45,51,45,54,40,50
6735,44,53,43,49,48,52
6736,42,48,41,45,41,40
6737,45,50,52,40,54,42
6738,49,52,40,47,45,46
6739,45,51,43,43,54,42
6740,52,46,45,50,42,49
6741,43,40,40,41,43,45
6742,53,48,41,43,52,48
6743,54,44,43,48,49,40
6744,41,52,46,49,54,53
6745,50,44,42,51,44,43
6746,45,53,51,50,51,45
6747,45,47,51,49,44,50
6748,40,47,48,44,43,40
6749,47,52,52,40,54,41
6750,48,40,40,53,47,54
6751,51,42,43,45,47,54
6752,44,51,52,47,47,40
6753,48,42,48,48,44,41
6754,47,43,41,45,42,45
6755,41,49,45,47,41,51
6756,47,50,45,53,51,47
6757,48,47,41,52,49,45
6758,45,49,52,53,49,42
6759,45,46,49,49,54,54
6760,42,50,53,47,53,43
6761,52,48,46,48,47,41
6762,41,47,41,40,42,40
6763,43,51,51,45,40,42
6764,43,46,41,45,40,50
6765,42,48,47,42,47,41
6766,42,50,49,41,40,42
6767,52,44,50,42,50,53
6768,48,44,51,42,42,40
6769,50,51,49,51,45,51
6770,48,40,47,51,47,45
6771,50,43,41,45,50,52
6772,51,40,47,50,47,54
6773,54,46,45,45,52,42
6774,47,48,49,45,49,40
6775,40,50,46,53,42,47
6776,50,54,50,46,49,43
6777,49,41,45,48,53,51
