Student ID,English,Mathematics,Science,Logical Reasoning,Computer Awareness
Student_1_1,61,72,72,69,74
Student_1_2,71,73,70,71,67
Student_1_3,65,69,67,67,66
Student_1_4,58,60,56,63,61
Student_1_5,55,56,59,57,58
Student_2_1,72,70,74,65,72
Student_2_2,66,72,72,72,66
Student_2_3,72,65,69,66,69
Student_2_4,55,61,58,63,64
Student_2_5,57,58,59,57,56
Student_3_1,60,74,71,73,70
Student_3_2,71,70,72,67,67
Student_3_3,72,68,65,68,69
Student_3_4,59,63,59,64,61
Student_3_5,57,58,58,58,59
Student_4_1,60,70,71,66,70
Student_4_2,68,74,72,68,68
Student_4_3,68,65,68,65,65
Student_4_4,56,64,56,64,57
Student_4_5,59,57,56,55,56
Student_5_1,60,70,72,73,73
Student_5_2,66,74,73,71,68
Student_5_3,73,69,68,66,65
Student_5_4,55,64,56,63,63
Student_5_5,56,56,59,59,56
Student_6_1,61,73,74,70,74
Student_6_2,72,73,71,71,67
Student_6_3,74,65,65,68,68
Student_6_4,57,61,58,62,62
Student_6_5,57,59,56,58,58
Student_7_1,72,71,72,68,71
Student_7_2,63,73,74,65,68
Student_7_3,63,68,66,68,68
Student_7_4,56,62,57,61,57
Student_7_5,58,55,56,59,56
Student_8_1,66,71,72,71,73
Student_8_2,67,71,73,70,66
Student_8_3,63,65,66,66,68
Student_8_4,59,64,59,61,63
Student_8_5,59,56,57,59,58
Student_9_1,64,73,70,65,72
Student_9_2,67,72,74,65,68
Student_9_3,63,66,67,66,67
Student_9_4,57,64,59,64,61
Student_9_5,55,56,55,59,58
Student_10_1,60,70,74,72,73
Student_10_2,61,72,70,69,69
Student_10_3,69,66,68,68,65
Student_10_4,58,60,56,61,63
Student_10_5,55,57,56,56,59
Student_11_1,65,70,74,68,72
Student_11_2,71,74,71,69,66
Student_11_3,64,69,66,68,65
Student_11_4,58,64,56,62,64
Student_11_5,57,56,57,56,55
Student_12_1,74,72,74,69,71
Student_12_2,72,71,73,74,69
Student_12_3,67,67,66,69,68
Student_12_4,57,63,57,60,58
Student_12_5,55,58,56,56,57
Student_13_1,64,70,74,65,74
Student_13_2,68,72,71,68,67
Student_13_3,65,66,66,65,68
Student_13_4,57,62,58,60,55
Student_13_5,57,57,59,57,55
Student_14_1,71,73,73,69,71
Student_14_2,74,72,74,68,68
Student_14_3,61,67,67,68,66
Student_14_4,57,62,55,61,55
Student_14_5,58,57,59,57,58
Student_15_1,64,72,74,71,73
Student_15_2,74,71,72,68,67
Student_15_3,71,66,65,65,65
Student_15_4,59,63,59,60,55
Student_15_5,58,55,56,55,58
Student_16_1,60,70,70,74,71
Student_16_2,62,74,70,71,65
Student_16_3,61,67,66,65,65
Student_16_4,57,60,57,63,64
Student_16_5,57,56,55,59,57
Student_17_1,64,71,74,70,70
Student_17_2,68,74,70,70,66
Student_17_3,61,65,68,65,68
Student_17_4,55,61,57,62,60
Student_17_5,59,59,55,57,57
Student_18_1,63,70,70,73,71
Student_18_2,73,70,70,72,65
Student_18_3,69,66,68,65,67
Student_18_4,58,64,56,64,58
Student_18_5,56,59,57,57,58
Student_19_1,60,70,74,70,71
Student_19_2,70,73,73,65,67
Student_19_3,68,68,69,65,68
Student_19_4,56,62,57,62,61
Student_19_5,59,55,55,59,58
Student_20_1,66,71,74,70,72
Student_20_2,63,74,73,74,65
Student_20_3,67,67,69,66,68
Student_20_4,55,60,56,61,64
Student_20_5,58,56,56,55,58
Student_21_1,70,73,72,72,72
Student_21_2,72,71,70,74,66
Student_21_3,74,67,69,67,65
Student_21_4,58,61,55,63,60
Student_21_5,56,58,59,55,56
Student_22_1,68,74,70,72,71
Student_22_2,71,72,72,72,67
Student_22_3,73,65,65,66,66
Student_22_4,58,61,57,64,62
Student_22_5,59,56,56,55,56
Student_23_1,66,71,73,74,72
Student_23_2,64,74,73,70,68
Student_23_3,61,66,67,67,69
Student_23_4,57,63,58,62,60
Student_23_5,59,59,57,56,59
Student_24_1,70,73,70,74,74
Student_24_2,60,70,71,71,65
Student_24_3,71,66,66,65,66
Student_24_4,56,60,59,63,62
Student_24_5,56,55,59,58,58
Student_25_1,73,71,70,74,70
Student_25_2,73,71,70,69,65
Student_25_3,60,67,67,66,69
Student_25_4,55,64,56,61,62
Student_25_5,55,56,55,55,55
Student_26_1,68,74,72,68,74
Student_26_2,73,74,73,67,67
Student_26_3,60,66,65,66,69
Student_26_4,59,61,55,64,56
Student_26_5,55,57,55,57,56
Student_27_1,73,70,74,71,71
Student_27_2,65,72,72,66,66
Student_27_3,73,67,66,67,65
Student_27_4,59,60,55,63,56
Student_27_5,56,57,59,57,57
Student_28_1,64,70,72,66,70
Student_28_2,65,74,72,74,65
Student_28_3,68,68,66,67,69
Student_28_4,56,60,58,61,55
Student_28_5,55,56,59,57,57
Student_29_1,63,71,74,71,71
Student_29_2,60,70,71,65,69
Student_29_3,74,67,69,69,67
Student_29_4,56,60,58,60,61
Student_29_5,55,58,59,56,58
Student_30_1,66,73,71,68,74
Student_30_2,74,70,74,73,65
Student_30_3,74,66,65,66,65
Student_30_4,57,63,57,64,63
Student_30_5,59,56,56,58,59
Student_31_1,73,71,73,66,71
Student_31_2,65,74,73,65,65
Student_31_3,70,67,67,69,66
Student_31_4,59,63,58,61,63
Student_31_5,58,55,59,58,56
Student_32_1,61,71,74,68,72
Student_32_2,68,71,70,65,66
Student_32_3,65,68,66,68,67
Student_32_4,58,62,56,62,59
Student_32_5,55,59,55,55,58
Student_33_1,67,71,72,74,74
Student_33_2,63,71,72,69,68
Student_33_3,66,65,67,69,65
Student_33_4,58,62,59,60,57
Student_33_5,57,59,57,57,57
Student_34_1,61,70,71,72,72
Student_34_2,72,73,70,70,68
Student_34_3,70,67,68,66,65
Student_34_4,56,61,55,61,62
Student_34_5,55,55,59,59,56
Student_35_1,69,71,71,74,74
Student_35_2,63,74,70,74,68
Student_35_3,67,69,67,68,66
Student_35_4,58,63,57,63,63
Student_35_5,58,56,58,59,55
Student_36_1,66,73,73,65,73
Student_36_2,69,74,71,71,66
Student_36_3,74,66,68,68,65
Student_36_4,58,64,58,64,55
Student_36_5,56,58,55,58,55
Student_37_1,65,72,71,74,73
Student_37_2,66,72,74,70,65
Student_37_3,71,69,67,68,69
Student_37_4,55,63,56,61,59
Student_37_5,58,58,56,55,59
Student_38_1,72,71,71,70,72
Student_38_2,60,70,71,72,67
Student_38_3,63,67,69,69,68
Student_38_4,58,62,59,64,62
Student_38_5,57,59,55,55,58
Student_39_1,63,72,70,69,73
Student_39_2,68,74,70,66,67
Student_39_3,61,67,66,66,66
Student_39_4,59,61,55,63,57
Student_39_5,59,59,56,56,58
Student_40_1,60,71,70,73,70
Student_40_2,65,72,74,71,68
Student_40_3,67,68,66,65,65
Student_40_4,57,60,59,61,63
Student_40_5,57,55,57,59,56
Student_41_1,71,71,74,65,74
Student_41_2,73,74,71,69,68
Student_41_3,72,66,66,66,67
Student_41_4,58,60,59,61,57
Student_41_5,57,57,57,55,55
Student_42_1,62,74,74,71,71
Student_42_2,73,72,70,65,65
Student_42_3,66,68,68,69,66
Student_42_4,59,63,57,64,63
Student_42_5,55,55,56,57,59
Student_43_1,73,71,74,69,72
Student_43_2,73,71,73,69,67
Student_43_3,65,69,66,65,69
Student_43_4,57,62,56,62,61
Student_43_5,55,58,58,58,58
Student_44_1,69,70,73,68,70
Student_44_2,62,74,74,72,68
Student_44_3,60,68,66,65,66
Student_44_4,55,62,59,62,63
Student_44_5,58,55,55,55,59
Student_45_1,64,72,71,73,71
Student_45_2,69,71,73,72,68
Student_45_3,66,67,67,66,67
Student_45_4,57,64,59,61,64
Student_45_5,57,58,57,58,57
Student_46_1,62,71,74,66,71
Student_46_2,63,72,73,69,65
Student_46_3,69,69,67,67,68
Student_46_4,58,60,55,63,63
Student_46_5,58,58,59,58,56
Student_47_1,73,74,73,65,74
Student_47_2,67,71,73,69,68
Student_47_3,67,66,65,68,67
Student_47_4,57,63,55,64,60
Student_47_5,57,58,55,56,58
Student_48_1,62,74,70,70,71
Student_48_2,64,72,70,71,69
Student_48_3,67,66,66,68,67
Student_48_4,59,62,56,62,60
Student_48_5,56,55,56,57,59
Student_49_1,64,71,71,72,73
Student_49_2,74,72,72,72,68
Student_49_3,64,66,66,69,67
Student_49_4,57,61,56,60,60
Student_49_5,55,59,57,56,55
Student_50_1,72,74,70,69,74
