Student ID,English,Mathematics,Science,Social Studies,Logical Reasoning,Computer Awareness
1,85,86,80,83,94,92
2,44,43,50,62,60,40
3,54,43,54,64,50,50
4,54,54,40,46,43,44
5,83,82,95,87,89,95
6,85,86,95,85,95,93
7,89,92,91,95,82,89
8,79,78,67,77,80,83
9,80,95,87,91,95,87
10,83,82,65,67,71,84
11,77,69,68,72,68,75
12,61,59,58,46,46,45
13,68,69,73,69,66,71
14,86,86,94,86,88,94
15,87,90,86,95,83,86
16,68,67,74,75,71,71
17,80,90,89,84,87,95
18,44,55,47,52,41,43
19,78,76,75,82,74,83
20,78,84,79,70,80,76
21,84,85,90,93,88,91
22,69,65,75,69,79,72
23,60,57,58,49,48,41
24,84,83,83,73,84,83
25,85,82,82,68,80,74
26,51,52,50,40,51,63
27,54,40,42,50,64,43
28,54,54,56,54,62,58
29,40,53,62,49,57,49
30,55,42,43,48,41,54
31,84,74,77,69,74,66
32,86,95,81,89,84,87
33,69,71,78,73,75,74
34,45,46,55,60,46,40
35,87,90,89,92,83,86
36,48,58,55,42,48,40
37,52,52,50,44,52,44
38,55,55,49,52,60,44
39,57,63,56,43,46,40
40,73,69,75,72,66,84
41,44,64,48,64,63,48
42,69,79,83,67,72,83
43,83,90,86,95,89,92
44,40,45,49,42,50,52
45,83,66,70,85,82,85
46,50,63,59,48,60,46
47,84,83,67,83,66,77
48,79,82,77,66,76,65
49,86,84,88,82,88,81
50,43,64,56,47,45,44
51,54,42,54,45,47,41
52,83,81,88,86,90,91
53,86,85,88,90,87,91
54,72,66,71,68,71,85
55,43,50,60,50,56,65
56,80,86,82,82,86,85
57,90,95,80,90,81,82
58,81,79,79,69,80,77
59,81,89,95,82,89,84
60,56,49,57,65,41,46
61,84,71,67,68,68,82
62,81,78,78,84,69,66
63,85,84,69,80,74,72
64,51,51,43,65,53,64
65,41,57,47,54,58,44
66,55,48,42,48,65,49
67,65,64,61,46,45,55
68,69,75,85,75,65,79
69,46,48,59,42,53,55
70,40,48,41,45,57,56
71,47,61,46,44,59,65
72,74,81,66,80,73,78
73,47,60,59,64,59,59
74,46,59,40,53,49,57
75,92,83,91,86,89,80
76,86,93,87,90,86,82
77,80,90,81,90,90,93
78,42,53,65,46,45,53
79,83,74,83,82,77,72
80,84,95,85,84,94,90
81,95,80,89,83,92,88
82,71,67,85,74,76,66
83,84,73,65,85,79,73
84,57,52,42,54,56,47
85,83,73,70,81,75,65
86,58,43,54,63,63,58
87,44,41,41,43,53,43
88,67,85,80,65,73,66
89,47,55,60,65,45,59
90,47,52,53,59,52,45
91,86,90,88,92,85,84
92,74,66,65,74,65,83
93,61,42,47,53,47,43
94,68,72,80,71,66,69
95,63,65,41,55,54,51
96,46,52,59,53,61,46
97,61,55,56,44,61,58
98,64,42,40,49,44,65
99,89,89,93,85,80,85
100,40,63,59,65,65,62
101,74,77,70,74,79,66
102,81,88,81,80,92,86
103,61,43,45,50,55,57
104,91,84,94,93,80,80
105,78,75,68,73,72,68
106,90,81,94,94,87,85
107,60,46,43,42,50,59
108,67,73,74,69,68,83
109,55,41,54,63,52,50
110,82,75,69,72,72,65
111,91,89,91,87,87,85
112,79,81,69,85,83,82
113,51,47,55,47,58,53
114,86,80,88,82,89,86
115,74,78,75,77,65,70
116,95,89,87,86,82,82
117,41,55,45,45,55,40
118,91,85,92,95,85,89
119,52,49,50,52,64,41
120,71,71,76,73,85,68
121,44,51,53,40,40,61
122,53,53,50,52,49,43
123,40,46,64,54,45,58
124,55,58,59,55,45,62
125,49,49,41,65,50,54
126,66,79,66,82,78,66
127,60,54,45,55,65,62
128,81,82,86,81,86,83
129,74,70,82,83,77,80
130,74,84,85,71,77,74
131,72,67,83,75,82,80
132,84,84,85,83,95,81
133,77,68,77,76,65,67
134,43,57,51,46,42,51
135,87,83,80,90,87,91
136,87,80,80,92,95,90
137,45,42,47,56,58,46
138,80,74,73,68,76,79
139,67,67,77,83,69,67
140,95,92,87,91,89,86
141,61,64,54,57,46,40
142,90,81,84,88,83,81
143,85,90,91,94,89,85
144,81,72,83,72,70,85
145,80,89,84,80,91,81
146,55,48,62,64,62,49
147,45,52,64,42,57,61
148,86,83,83,95,89,95
149,65,84,66,78,80,75
150,46,64,45,47,65,64
151,65,57,49,51,52,54
152,75,69,82,70,78,83
153,70,81,83,78,85,71
154,61,55,43,40,53,57
155,84,91,85,81,86,83
156,51,50,54,57,54,52
157,83,82,77,85,72,80
158,59,52,48,63,54,55
159,81,67,65,82,67,74
160,68,80,67,79,66,85
161,50,49,54,57,44,63
162,89,81,93,90,86,94
163,77,80,79,67,65,67
164,84,76,79,79,75,80
165,93,93,95,89,84,84
166,67,76,82,68,81,76
167,85,85,66,68,70,83
168,50,55,55,54,59,47
169,85,66,85,67,84,77
170,52,43,51,60,46,42
171,47,64,54,42,44,47
172,74,71,72,69,77,74
173,79,65,65,66,66,68
174,61,53,63,52,49,62
175,95,83,87,95,92,90
176,83,95,81,88,81,89
177,70,68,80,78,69,80
178,70,82,84,74,84,70
179,47,42,58,51,62,55
180,43,52,43,46,47,47
181,76,74,69,71,78,70
182,69,70,73,85,68,76
183,65,82,82,84,70,82
184,63,57,43,65,57,60
185,48,45,48,55,56,65
186,92,82,84,85,95,87
187,83,80,93,85,94,84
188,81,65,81,73,68,75
189,52,57,44,40,55,49
190,80,82,82,89,81,86
191,54,56,65,59,49,57
192,79,82,83,85,70,71
193,84,80,95,93,90,90
194,66,78,76,66,84,65
195,74,76,74,76,83,84
196,84,85,80,83,93,82
197,81,67,84,71,74,84
198,92,81,88,93,87,85
199,48,44,41,54,65,52
200,79,75,79,79,66,73
201,60,54,55,64,58,63
202,78,70,76,84,77,66
203,67,74,78,83,80,68
204,52,45,47,46,62,47
205,80,88,92,80,80,84
206,61,57,46,45,40,53
207,74,75,65,78,69,77
208,66,75,71,66,82,85
209,82,75,76,75,84,79
210,59,50,60,55,61,45
211,68,76,71,81,70,66
212,44,41,57,60,60,44
213,52,58,59,57,48,46
214,70,76,80,75,80,76
215,85,81,89,84,93,81
216,78,70,85,78,69,66
217,85,72,75,74,71,67
218,67,78,74,81,67,65
219,49,52,50,53,54,57
220,68,69,71,71,77,66
221,63,45,52,42,61,51
222,41,57,50,47,41,41
223,61,45,60,64,45,56
224,83,83,73,71,85,80
225,53,44,64,54,47,65
226,72,85,84,79,79,70
227,85,74,66,85,72,72
228,53,56,45,44,62,48
229,79,75,83,77,78,71
230,65,77,82,80,69,84
231,81,83,95,87,84,88
232,85,69,75,83,82,70
233,95,95,91,90,80,81
234,80,83,87,89,93,80
235,78,84,85,77,69,65
236,58,63,55,55,56,50
237,66,70,76,67,72,70
238,57,41,52,62,41,59
239,51,63,49,58,59,54
240,80,95,87,84,91,81
241,85,76,73,66,85,83
242,83,86,80,91,91,94
243,77,67,83,67,85,80
244,68,78,73,66,71,75
245,86,89,92,82,92,82
246,57,44,60,41,56,60
247,41,43,61,41,41,47
248,47,65,48,60,49,65
249,65,81,79,71,77,83
250,81,90,81,83,81,88
251,63,52,43,49,52,62
252,51,40,57,46,61,54
253,80,84,80,65,83,85
254,51,65,64,45,55,44
255,82,93,88,93,91,89
256,85,76,70,82,72,66
257,69,75,79,83,76,81
258,75,73,73,70,70,78
259,85,83,89,91,80,88
260,90,80,84,90,92,83
261,64,62,40,55,41,45
262,63,40,47,62,54,45
263,83,70,85,73,66,67
264,67,74,70,70,74,76
265,89,90,86,91,89,82
266,50,53,57,64,44,52
267,82,83,77,81,80,67
268,65,70,69,77,76,84
269,73,69,68,81,78,84
270,61,61,58,60,50,41
271,79,69,76,74,72,73
272,68,65,75,74,65,71
273,48,44,60,56,46,56
274,81,80,79,85,84,69
275,42,53,51,57,41,48
276,62,43,42,62,59,60
277,46,57,65,53,44,43
278,73,79,83,83,67,80
279,42,53,48,47,58,45
280,85,93,93,95,83,81
281,47,44,59,49,47,51
282,90,88,84,89,84,87
283,48,45,47,61,50,51
284,80,87,90,94,85,81
285,89,81,88,93,80,90
286,83,69,79,77,65,79
287,45,52,41,63,52,63
288,86,81,94,93,83,89
289,59,55,44,59,40,42
290,49,57,57,40,54,58
291,80,74,85,81,70,79
292,68,70,67,71,74,84
293,44,54,50,60,63,56
294,50,58,46,40,60,41
295,71,76,80,73,71,68
296,64,60,42,53,63,63
297,89,81,84,82,94,91
298,83,84,87,86,81,82
299,81,93,83,85,80,91
300,75,72,66,66,77,69
301,77,80,68,74,73,78
302,84,78,82,78,77,83
303,72,76,67,75,69,85
304,63,50,64,49,59,40
305,50,53,53,60,56,55
306,83,82,94,90,92,87
307,80,89,93,83,93,84
308,67,78,77,66,68,70
309,50,55,49,47,59,65
310,80,81,91,94,95,94
311,85,77,77,75,77,79
312,68,83,85,71,71,65
313,81,84,73,67,74,76
314,54,64,62,44,63,41
315,81,77,65,73,83,81
316,57,63,52,64,51,60
317,72,70,69,73,77,75
318,59,45,47,57,47,56
319,78,74,69,76,82,80
320,86,92,86,80,81,91
321,43,60,58,40,53,57
322,78,70,80,85,70,82
323,71,78,78,81,77,71
324,79,85,74,77,67,72
325,71,80,65,84,81,76
326,51,40,50,62,56,57
327,74,72,82,71,78,85
328,46,59,58,63,63,51
329,72,85,69,75,84,74
330,76,85,67,69,84,74
331,77,66,66,81,84,76
332,40,40,49,65,61,65
333,65,78,84,70,81,76
334,65,61,52,48,55,46
335,59,50,51,56,51,46
336,79,72,77,72,73,83
337,84,82,84,89,88,91
338,75,78,85,81,74,80
339,55,43,64,56,57,42
340,91,94,82,92,82,89
341,88,87,90,89,90,84
342,85,76,80,75,71,68
343,66,85,69,68,72,81
344,41,48,64,61,65,42
345,44,43,41,59,50,47
346,55,63,58,53,59,43
347,79,74,67,70,78,83
348,82,72,72,72,68,74
349,80,83,65,72,84,81
350,60,59,61,60,51,51
351,70,84,73,68,72,66
352,83,80,81,94,83,86
353,65,80,66,75,74,82
354,45,43,48,44,60,46
355,70,67,84,65,74,66
356,49,49,54,40,41,54
357,46,44,49,40,49,56
358,55,61,55,51,57,49
359,94,82,93,86,91,95
